champ_name,counter_name,championId,counterId,champ_kda,counter_kda,champ_lane kill rate,counter_lane kill rate,champ_kill participation,counter_kill participation,champ_dmgtochamp,counter_dmgtochamp,champ_first tower kill,counter_first tower kill,champ_win ratio,counter_win ratio,champ_position win rate,counter_position win rate,champ_position pick rate,counter_position pick rate,champ_ban rate,counter_ban rate,position
Cho'Gath,Shen,31,98,2.02,3.22,0.507,0.493,0.39,0.46299999999999997,15715.0,14929.0,0 days 00:20:55,0 days 00:16:44,0.4805,0.5195,0.5029,0.5191,0.01,0.0775,0.001,0.1125,top
Gwen,Yasuo,887,157,1.91,1.6,0.5686,0.4314,0.36700000000000005,0.373,16004.0,17276.0,0 days 00:16:01,0 days 00:16:37,0.5051,0.4949,0.5003,0.48200000000000004,0.0608,0.0091,0.2419,0.1139,top
Vladimir,Poppy,8,78,2.02,2.09,0.5746,0.4254,0.366,0.361,19899.0,15606.0,0 days 00:18:58,0 days 00:17:04,0.5166,0.4834,0.498,0.5177,0.0342,0.0274,0.0247,0.0383,top
Lucian,Illaoi,236,420,2.01,1.37,0.6217,0.3783,0.38299999999999995,0.29,21641.0,15554.0,0 days 00:17:17,0 days 00:16:57,0.5562,0.4438,0.4612,0.4889,0.0193,0.0081,0.0429,0.0031,top
Heimerdinger,Yone,74,777,1.53,2.05,0.4144,0.5856,0.32299999999999995,0.37,21151.0,18021.0,0 days 00:16:59,0 days 00:17:51,0.4681,0.5319,0.5131,0.4743,0.0086,0.0071,0.0085,0.0515,top
Aatrox,Gangplank,266,41,2.33,1.88,0.6464,0.3536,0.37799999999999995,0.373,17682.0,19221.0,0 days 00:17:18,0 days 00:17:35,0.5502,0.4498,0.5033,0.4902,0.1485,0.0303,0.1015,0.0235,top
Quinn,Yone,133,777,1.81,1.71,0.5152,0.4848,0.431,0.366,19194.0,17843.0,0 days 00:16:41,0 days 00:17:57,0.4811,0.5189,0.5025,0.4743,0.0091,0.0071,0.0114,0.0515,top
Singed,Jayce,27,126,2.06,2.02,0.4286,0.5714,0.375,0.41700000000000004,13321.0,21294.0,0 days 00:16:17,0 days 00:17:48,0.5253,0.4747,0.5142,0.4811,0.0101,0.0719,0.0013,0.0497,top
Renekton,Fiora,58,114,1.88,1.63,0.5069,0.4931,0.374,0.353,15172.0,18130.0,0 days 00:16:51,0 days 00:15:11,0.4998,0.5002,0.4912,0.508,0.08800000000000001,0.0525,0.1333,0.0698,top
Tryndamere,Zac,23,154,1.42,3.07,0.4141,0.5859,0.315,0.434,18550.0,18596.0,0 days 00:18:10,0 days 00:15:33,0.4529,0.5471,0.5069,0.5083,0.0164,0.011000000000000001,0.0044,0.0074,top
Lucian,Gangplank,236,41,1.74,2.04,0.5741,0.4259,0.382,0.39,19907.0,15828.0,0 days 00:17:40,0 days 00:16:07,0.5146,0.4854,0.4631,0.4885,0.0193,0.0303,0.0429,0.0235,top
Singed,Malphite,27,54,1.95,2.63,0.3988,0.6012,0.382,0.405,16561.0,16551.0,0 days 00:19:50,0 days 00:17:27,0.5164,0.4836,0.5142,0.5058,0.0101,0.046,0.0013,0.1194,top
Yorick,Heimerdinger,83,74,2.1,1.7,0.5392,0.4608,0.309,0.294,15894.0,23456.0,0 days 00:17:58,0 days 00:15:47,0.5,0.5,0.4766,0.5196,0.0054,0.0086,0.0033,0.0085,top
Cho'Gath,Kayle,31,10,2.3,1.92,0.6157,0.3843,0.376,0.37200000000000005,14836.0,20445.0,0 days 00:17:43,0 days 00:17:11,0.4715,0.5285,0.5029,0.5077,0.01,0.0219,0.001,0.0035,top
Ornn,Rumble,516,68,2.77,1.86,0.5875,0.4125,0.423,0.401,14282.0,20391.0,0 days 00:18:22,0 days 00:17:56,0.5408,0.4592,0.5259,0.4868,0.0432,0.0289,0.005,0.2814,top
Shen,Sylas,98,517,2.91,1.95,0.4756,0.5244,0.44799999999999995,0.436,12839.0,15881.0,0 days 00:16:43,0 days 00:20:13,0.5235,0.4765,0.5191,0.5016,0.0775,0.1206,0.1125,0.242,top
Singed,Yone,27,777,2.16,1.65,0.5058,0.4942,0.385,0.374,16637.0,19196.0,0 days 00:17:31,0 days 00:17:00,0.5915,0.4085,0.5142,0.4743,0.0101,0.0071,0.0013,0.0515,top
Trundle,Darius,48,122,1.99,1.69,0.5856,0.4144,0.39799999999999996,0.363,17421.0,16449.0,0 days 00:16:47,0 days 00:15:03,0.503,0.49700000000000005,0.4917,0.5056,0.0065,0.0448,0.0007,0.1342,top
Shen,Warwick,98,19,2.9,1.81,0.3428,0.6572,0.478,0.41,14687.0,15786.0,0 days 00:17:23,0 days 00:20:44,0.5445,0.4555,0.5191,0.5144,0.0775,0.0116,0.1125,0.003,top
Warwick,Quinn,19,133,1.94,1.75,0.5925,0.4075,0.381,0.425,12567.0,20604.0,0 days 00:17:28,0 days 00:18:40,0.5072,0.4928,0.5144,0.5025,0.0116,0.0091,0.003,0.0114,top
