champ_name,counter_name,championId,counterId,champ_kda,counter_kda,champ_lane kill rate,counter_lane kill rate,champ_kill participation,counter_kill participation,champ_dmgtochamp,counter_dmgtochamp,champ_first tower kill,counter_first tower kill,champ_win ratio,counter_win ratio,champ_position win rate,counter_position win rate,champ_position pick rate,counter_position pick rate,champ_ban rate,counter_ban rate
Riven,Nocturne,92,56,1.99,2.25,0.4433,0.5567,0.395,0.475,15408,16497,0 days 00:17:06,0 days 00:17:22,0.5402,0.4598,0.5219,0.5215,0.0064,0.015,0.0043,0.0231
Viego,Malphite,234,54,1.82,2.69,0.4498,0.5502,0.423,0.44,16877,16942,0 days 00:17:50,0 days 00:17:34,0.4825,0.5175,0.5035,0.5346,0.053,0.0129,0.1378,0.1194
Pyke,Neeko,555,518,2.88,2.28,0.4105,0.5895,0.522,0.417,14636,17645,0 days 00:15:12,0 days 00:19:18,0.5286,0.4714,0.5346,0.5324,0.0052,0.0084,0.04,0.0021
Pantheon,Qiyana,80,246,2.33,1.97,0.53,0.47,0.471,0.46,17473,17585,0 days 00:18:28,0 days 00:17:44,0.5308,0.4692,0.517,0.5096,0.0428,0.0724,0.1064,0.1252
Viego,Annie,234,1,1.97,2.58,0.4639,0.5361,0.422,0.468,15439,19910,0 days 00:18:11,0 days 00:17:46,0.4694,0.5306,0.5035,0.5412,0.053,0.0109,0.1378,0.0012
Tristana,Vladimir,18,8,2.37,1.95,0.5556,0.4444,0.427,0.37,16841,15532,0 days 00:17:12,0 days 00:15:10,0.5675,0.4325,0.5027,0.4893,0.0094,0.0362,0.0498,0.0247
Gwen,Talon,887,91,1.98,2.21,0.5311,0.4689,0.393,0.464,18286,19571,0 days 00:17:49,0 days 00:17:00,0.5166,0.4834,0.4874,0.5156,0.0118,0.0862,0.2419,0.183
Zoe,Lissandra,142,127,2.46,2.38,0.67,0.33,0.46,0.441,19544,16695,0 days 00:18:32,0 days 00:18:03,0.4176,0.5824,0.5021,0.5103,0.042,0.0158,0.0294,0.0024
Katarina,Viktor,55,112,2.41,2.22,0.5857,0.4143,0.479,0.426,18593,20499,0 days 00:17:27,0 days 00:18:26,0.5097,0.4903,0.5115,0.5027,0.096,0.0552,0.1899,0.0086
Cho'Gath,Cassiopeia,31,69,2.29,1.75,0.6769,0.3231,0.416,0.403,16446,19069,0 days 00:16:43,0 days 00:18:09,0.4603,0.5397,0.5178,0.5078,0.0058,0.0134,0.001,0.0039
Nunu & Willump,Orianna,20,61,2.43,2.52,0.5659,0.4341,0.529,0.473,16092,16990,0 days 00:17:30,0 days 00:17:55,0.5372,0.4628,0.4601,0.4652,0.0062,0.0305,0.0112,0.003
Cho'Gath,Lucian,31,236,2.34,1.88,0.5452,0.4548,0.405,0.43,15996,20123,0 days 00:16:08,0 days 00:17:50,0.5336,0.4664,0.5178,0.4617,0.0058,0.0463,0.001,0.0429
Rumble,Orianna,68,61,2.52,2.52,0.5871,0.4129,0.459,0.458,18536,16855,0 days 00:17:50,0 days 00:17:51,0.5449,0.4551,0.5117,0.4652,0.0228,0.0305,0.2814,0.003
Ekko,Zoe,245,142,2.25,2.56,0.3887,0.6113,0.433,0.444,17246,19301,0 days 00:18:05,0 days 00:17:57,0.5432,0.4568,0.513,0.5021,0.0287,0.042,0.0129,0.0294
Anivia,Qiyana,34,246,2.36,2.05,0.4754,0.5246,0.437,0.453,16650,18600,0 days 00:18:38,0 days 00:17:03,0.5087,0.4913,0.5166,0.5096,0.0338,0.0724,0.0456,0.1252
Twisted Fate,Veigar,4,45,2.51,2.53,0.3769,0.6231,0.448,0.456,15233,18831,0 days 00:17:55,0 days 00:17:25,0.5304,0.4696,0.4916,0.4841,0.0676,0.006,0.0139,0.0007
Anivia,Zed,34,238,2.38,2.12,0.4804,0.5196,0.427,0.438,16591,20162,0 days 00:17:53,0 days 00:17:52,0.5138,0.4862,0.5166,0.5001,0.0338,0.126,0.0456,0.4129
Sett,Annie,875,1,2.14,2.4,0.6,0.4,0.425,0.486,17703,22432,0 days 00:18:50,0 days 00:16:59,0.6111,0.3889,0.5113,0.5412,0.0199,0.0109,0.1052,0.0012
Gwen,Zac,887,154,1.65,2.52,0.4348,0.5652,0.361,0.453,17651,16073,0 days 00:16:55,0 days 00:17:15,0.4815,0.5185,0.4874,0.0,0.0118,0.0,0.2419,0.0074
